identity,p90,Pj,simulator_power_cost,simulator_mean_tracking_monetary,legacy_economic_term,legacy_tracking_transform,legacy_qos,legacy_full,paper_M_RSR,paper_Ctrack,paper_CQoS,paper_full,legacy_minus_paper
c005_a1507332087_r1507332087,0.205,"[0.0, 0.0, 0.0392625016580449, 0.23258491652274038]",37.003600000000006,0.5604414328888889,37.003600000000006,2.060045089442055,53.30053311986354,92.3641782093056,37.56404143288889,0.32695640685095206,53.30053311986354,91.19153095960337,1.172647249702237
c005_a1507332087_r1841060571,0.203,"[0.0, 0.0, 0.03349250563735251, 0.24409902130109384]",37.003600000000006,0.5734284790000002,37.003600000000006,2.1774247189051326,53.45440305859138,92.63542777749652,37.577028479000006,0.32141881317184706,53.45440305859138,91.35285035076323,1.2825774267332832
c005_a1507332087_r2381098110,0.203,"[0.0, 0.0, 0.03588009019763905, 0.23233818570606135]",37.003600000000006,0.5589757108333334,37.003600000000006,2.0470324206467287,53.23151813313375,92.28215055378048,37.562575710833336,0.32141881317184706,53.23151813313375,91.11551265713892,1.1666378966415607
c005_a1507332087_r2495920665,0.205,"[0.0, 0.0, 0.03727284785780616, 0.2249362612056912]",37.003600000000006,0.5552725309444445,37.003600000000006,2.0143684910186024,53.09063166325068,92.10860015426928,37.55887253094445,0.32695640685095206,53.09063166325068,90.97646060104609,1.1321395532231975
c005_a2720817509_r1841060571,0.319,"[0.0, 0.013388903360250004, 0.0, 0.1800472736164317]",37.003600000000006,0.7910032557222222,37.003600000000006,4.680665076135258,51.659094106595376,93.34335918273064,37.79460325572223,0.7926529092986134,51.659094106595376,90.24635027161622,3.097008911114415
c005_a2720817509_r2381098110,0.314,"[0.0, 0.020109403490492284, 0.0, 0.19471839595729068]",37.003600000000006,0.7857450858333335,37.003600000000006,4.6085450775936785,52.10133719886723,93.71348227646091,37.78934508583334,0.7655951823371514,52.10133719886723,90.65627746703771,3.0572048094231974
c005_a2720817509_r2495920665,0.314,"[0.0, 0.013388903360250004, 0.0, 0.14972695411198955]",37.003600000000006,0.7848120918333334,37.003600000000006,4.595807359053009,51.01339788322948,92.61280524228249,37.78841209183334,0.7655951823371514,51.01339788322948,89.56740515739996,3.0454000848825302
c005_a2720817509_r2720817509,0.319,"[0.0, 0.01531648866892421, 0.0, 0.17792811150052978]",37.003600000000006,0.7896843938333334,37.003600000000006,4.662522745639163,51.648627963348574,93.31475070898775,37.79328439383334,0.7926529092986134,51.648627963348574,90.23456526648053,3.080185442507215
c005_a2812640469_r1841060571,0.314,"[0.0, 0.030487487643723, 0.0, 0.06173456635841046]",37.003600000000006,0.8030832243333335,37.003600000000006,4.848489978511948,49.558802970141784,91.41089294865374,37.80668322433334,0.7655951823371514,49.558802970141784,88.13108137681228,3.2798115718414635
c005_a2812640469_r2381098110,0.304,"[0.0, 0.03792726705166227, 0.0, 0.06331750395734403]",37.003600000000006,0.8046842881111113,37.003600000000006,4.870956695791447,49.72829598048387,91.60285267627532,37.80828428811112,0.7133471672280342,49.72829598048387,88.24992743582303,3.3529252404522936
c005_a2812640469_r2495920665,0.314,"[0.0, 0.030331408355444567, 0.0, 0.055902690993918314]",37.003600000000006,0.8017989177777779,37.003600000000006,4.830505890803063,49.44406132541144,91.27816721621451,37.80539891777779,0.7655951823371514,49.44406132541144,88.01505542552637,3.263111790688143
c005_a2812640469_r2812640469,0.311,"[0.0, 0.027938192601841716, 0.0, 0.05315337832208622]",37.003600000000006,0.804756278388889,37.003600000000006,4.871968117512766,49.34709561254127,91.22266373005404,37.80835627838889,0.7496589186224231,49.34709561254127,87.90511080955257,3.3175529205014698
c005_a3385754323_r1841060571,0.396,"[0.0013419092129008936, 0.0, 0.0, 0.007249395883676235]",37.003600000000006,0.9281648921666668,37.003600000000006,6.760305224638016,48.00634848243958,91.7702537070776,37.931764892166676,1.2841775991951891,48.00634848243958,87.22229097380145,4.547962733276151
c005_a3385754323_r2381098110,0.385,"[0.0, 0.0, 0.0, 0.007999333388884144]",37.003600000000006,0.9274305913333334,37.003600000000006,6.748159561124224,47.99578453496599,91.74754409609022,37.93103059133334,1.205865068442196,47.99578453496599,87.13268019474152,4.6148639013486985
c005_a3385754323_r2495920665,0.409,"[0.0006940909721900868, 0.0, 0.0, 0.004332972252312217]",37.003600000000006,0.9318738312777779,37.003600000000006,6.821818637949052,47.94182077321219,91.76723941116126,37.93547383127778,1.3798421081740633,47.94182077321219,87.25713671266402,4.510102698497235
c005_a3385754323_r3385754323,0.383,"[0.0, 0.0, 0.0, 0.008082659778351764]",37.003600000000006,0.928792647388889,37.003600000000006,6.770697184563529,47.99729824105488,91.77159542561841,37.932392647388895,1.191895791987978,47.99729824105488,87.12158668043173,4.650008745186682
c005_a3463391848_r1841060571,0.242,"[0.0, 0.16584209441352304, 0.0, 0.1476048400464114]",37.003600000000006,0.5717323880555557,37.003600000000006,2.161883279913189,53.98635486752802,93.15183814744123,37.575332388055564,0.44462066950155305,53.98635486752802,92.00630792508514,1.1455302223560864
