workload,server_count,utilization,arrival_seed,search_runtime_seed,episode_path,max_search_calls,max_final_checks
W2-short-qos5_4.5_4_3.5,1000,0.6,3883208862,3122970382,W2-short-qos5_4.5_4_3.5/arrival_3883208862,32,3
W2-short-qos5_4.5_4_3.5,1000,0.6,3090083691,3122970382,W2-short-qos5_4.5_4_3.5/arrival_3090083691,32,3
W2-short-qos5_4.5_4_3.5,1000,0.6,2888586026,3122970382,W2-short-qos5_4.5_4_3.5/arrival_2888586026,32,3
W2-short-qos5555,1000,0.6,3883208862,3122970382,W2-short-qos5555/arrival_3883208862,32,3
W2-short-qos5555,1000,0.6,3090083691,3122970382,W2-short-qos5555/arrival_3090083691,32,3
W2-short-qos5555,1000,0.6,2888586026,3122970382,W2-short-qos5555/arrival_2888586026,32,3
