candidate_id,Pbar,R,weights,source,start_id,iteration,region_id,seed,phase,batch,status,valid,runtime_seconds,actual_p90,actual_pj,actual_objective,predicted_p90,predicted_pj,predicted_objective
v3-0020-0005,0.5552651882171631,0.24327042698860168,"[0.2869108021259308, 0.28310343623161316, 0.25492629408836365, 0.1750594675540924]",V3 endpoint,5.0,20.0,region-01,20,search,1,SIMULATOR_OBSERVED_FEASIBLE,True,11.929931700000452,0.158,"[0.0, 0.0, 0.0, 0.0]",79.9174643198774,0.15817496180534363,"[0.03219912573695183, 9.632786755753298e-12, 2.6274346587307207e-10, 8.813829657436378e-13]",80.51109313964844
v3-0005-0003,0.5874093174934387,0.1411600410938263,"[0.2062082141637802, 0.1843843013048172, 0.31094419956207275, 0.2984633147716522]",V3 snapshot,3.0,5.0,region-02,20,search,1,SIMULATOR_OBSERVED_FEASIBLE,True,12.420928499999718,0.005,"[0.06466069142125486, 0.0, 0.0, 0.0]",93.79988775228026,0.004245526622980833,"[0.04111940786242485, 2.0807720103139735e-14, 7.25450063412135e-20, 2.8248282684166214e-24]",93.32323455810547
v3-0015-0001,0.5954729318618774,0.08158139884471893,"[0.2465360164642334, 0.2679472267627716, 0.24368536472320557, 0.24183140695095062]",V3 snapshot,1.0,15.0,region-03,20,search,1,SIMULATOR_OBSERVED_FEASIBLE,True,11.90415899999789,0.014,"[0.0, 0.0, 0.0, 0.0]",99.41986111152792,0.019767435267567635,"[4.504759999690577e-06, 4.450108103119546e-21, 5.5202389317215e-20, 6.914037963948436e-26]",99.46846771240234
b001-independent-0000,0.49436223559140646,0.0943339712654995,"[0.16735073033263195, 0.21117889795056427, 0.18680935499512677, 0.434661016721677]",independent,,,,20,search,1,SIMULATOR_OBSERVED_INFEASIBLE,True,11.992420000002312,0.006,"[0.6952624839948784, 0.0, 0.0, 0.0]",105.07968346335815,0.0065316627733409405,"[0.687112033367157, 5.314464424088783e-09, 2.242303480670671e-07, 3.2732374871945495e-15]",104.83319123665663
v3-0010-0004,0.6079303026199341,0.03412453830242157,"[0.2988695204257965, 0.18216174840927124, 0.18102513253688812, 0.33794358372688293]",V3 snapshot,4.0,10.0,region-04,20,search,2,SIMULATOR_OBSERVED_INFEASIBLE,True,12.987230000002455,0.32,"[0.0, 0.0, 0.0, 0.0]",106.31183704490896,0.09105745702981949,"[8.791264699721524e-13, 2.729417070348144e-25, 3.6137268417458575e-24, 1.2462386865274437e-32]",105.57591247558594
b002-local-0000,0.6118664751301607,0.2550643524268634,"[0.2718700972269354, 0.28155636108859505, 0.2711967431805019, 0.1753767985039678]",local,,,region-01,20,search,2,SIMULATOR_OBSERVED_INFEASIBLE,True,11.938724500003445,0.597,"[0.0, 0.0, 0.0, 0.0]",90.94964255358728,0.5881256461143494,"[0.0017024105181917548, 2.551977300793739e-19, 4.988168961369602e-19, 2.647944934305763e-18]",90.69344975879821
b002-local-0001,0.5944768953325984,0.1618384008004373,"[0.19527332062318226, 0.15, 0.33859227589613083, 0.316134403480687]",local,,,region-02,20,search,2,SIMULATOR_OBSERVED_FEASIBLE,True,12.952837699998781,0.107,"[0.0, 0.0, 0.0, 0.0]",91.88178373814816,0.12303682416677475,"[0.018194125965237617, 1.825644500754852e-14, 3.329224629594443e-23, 6.363775589156901e-27]",92.12738140993564
b002-independent-0002,0.6466692609755793,0.07278422277452933,"[0.43540160207852696, 0.20399775412422172, 0.2041863960521488, 0.15641424774510249]",independent,,,,20,search,2,SIMULATOR_OBSERVED_INFEASIBLE,True,11.62663049999901,1.665,"[0.0, 0.0, 0.0, 0.0]",123.10788023452207,1.706583857536316,"[1.4387421894263583e-23, 1.1363999289738264e-29, 5.775192235149215e-28, 1.8733218438794617e-28]",123.55931148782629
v3-0020-0005,0.5552651882171631,0.24327042698860168,"[0.2869108021259308, 0.28310343623161316, 0.25492629408836365, 0.1750594675540924]",V3 endpoint,5.0,20.0,region-01,100020,confirmation,1,SIMULATOR_OBSERVED_FEASIBLE,True,10.362319500000012,0.168,"[0.00908455625436766, 0.0, 0.0, 0.0]",80.16839426362822,0.15817496180534363,"[0.03219912573695183, 9.632786755753298e-12, 2.6274346587307207e-10, 8.813829657436378e-13]",80.51109313964844
v3-0020-0005,0.5552651882171631,0.24327042698860168,"[0.2869108021259308, 0.28310343623161316, 0.25492629408836365, 0.1750594675540924]",V3 endpoint,5.0,20.0,region-01,100021,confirmation,2,SIMULATOR_OBSERVED_FEASIBLE,True,10.902550300001167,0.152,"[0.00566973777462787, 0.0, 0.0, 0.0]",80.00171717902296,0.15817496180534363,"[0.03219912573695183, 9.632786755753298e-12, 2.6274346587307207e-10, 8.813829657436378e-13]",80.51109313964844
