candidate_id,Pbar,R,weights,source,start_id,iteration,region_id,seed,phase,batch,status,valid,runtime_seconds,actual_p90,actual_pj,actual_objective,predicted_p90,predicted_pj,predicted_objective
b003-local-0005,0.5493497080180513,0.12938741241469437,"[0.30399991121525893, 0.1754971917340322, 0.1922786621680041, 0.3282242348827048]",local,,,region-03,20,search,3,SIMULATOR_OBSERVED_FEASIBLE,True,12.30129179999858,0.005,"[0.0, 0.0, 0.0, 0.0]",89.92461561236689,0.006541512906551361,"[0.0028413324616849422, 1.902851384490492e-13, 3.018230197021632e-13, 3.685583594689926e-21]",89.99449277471334
b003-independent-0006,0.7598427790706573,0.1534361658915823,"[0.17844150776671341, 0.18880932653373933, 0.2942367579895714, 0.3385124077099759]",independent,,,,20,search,3,SIMULATOR_OBSERVED_INFEASIBLE,True,10.57699109999885,2.125,"[0.0, 0.0, 0.0, 0.0]",143.03474792916626,2.1615703105926514,"[1.0746158109305049e-17, 6.492992104566113e-38, 0.0, 0.0]",142.20799564835102
b003-independent-0007,0.22734083180099451,0.13168921470019965,"[0.1553932623469986, 0.1654368517734191, 0.3192057282050853, 0.35996415767449697]",independent,,,,20,search,3,SIMULATOR_OBSERVED_INFEASIBLE,True,11.4173621000009,0.0,"[0.6952624839948784, 0.0, 0.0, 0.0]",74.6276811753962,0.0009289772715419531,"[0.6901965141296387, 2.0176462385279592e-06, 0.0006314158672466874, 4.833191269426607e-06]",74.48783399578429
b004-local-0000,0.37185105408421415,0.20508081833434763,"[0.45, 0.15, 0.17963893876398707, 0.22036106123601307]",local,,,region-01,20,search,4,SIMULATOR_OBSERVED_FEASIBLE,True,11.280499199998303,0.006,"[0.0, 0.0, 0.0, 0.0]",64.61455169611861,0.007015827111899853,"[0.024475008249282837, 1.562512181862985e-07, 1.1146837550768396e-06, 6.923232120925604e-08]",65.08948255421816
b004-local-0001,0.5383632247651063,0.2688871639268456,"[0.3347043010861296, 0.1535234286674341, 0.1510758695865095, 0.3606964006599269]",local,,,region-04,20,search,4,SIMULATOR_OBSERVED_FEASIBLE,True,11.586230400000204,0.166,"[0.05633802816901412, 0.0, 0.0, 0.0]",76.77405274191368,0.1857779622077942,"[0.07384704053401947, 5.127701596663314e-10, 2.5099731182365304e-09, 6.894882885119524e-13]",77.23372984034425
b004-local-0002,0.504300300826203,0.24957038215077465,"[0.2834592244013785, 0.23582875778609197, 0.3045362375081943, 0.17617578030433523]",local,,,region-02,20,search,4,SIMULATOR_OBSERVED_INFEASIBLE,True,11.799319800000376,0.011,"[0.3284250960307299, 0.0, 0.0, 0.0]",80.46600079906842,0.008551484905183315,"[0.26125794649124146, 7.549002134510374e-08, 4.707010248239385e-08, 6.012468301008767e-10]",78.84622742428083
b004-local-0003,0.42380579800613516,0.0797009294402473,"[0.3678155843445444, 0.21447886620129447, 0.24008356752406113, 0.1776219819301001]",local,,,region-06,20,search,4,SIMULATOR_OBSERVED_FEASIBLE,True,11.177189800000633,0.016,"[0.0, 0.0, 0.0, 0.0]",82.7358416187461,0.009909635409712791,"[9.680844232207164e-05, 1.0695810903627034e-10, 2.4091260097947043e-09, 5.088180311113577e-12]",82.53942823721096
b004-local-0004,0.44017377790833034,0.12363305548824634,"[0.34285162707589045, 0.23397118938525113, 0.19939403524041144, 0.22378314829844714]",local,,,region-06,20,search,4,SIMULATOR_OBSERVED_FEASIBLE,True,11.609916699999303,0.009,"[0.0, 0.0, 0.0, 0.0]",79.6163092516779,0.00773168820887804,"[0.03406236693263054, 2.3266447796155276e-11, 1.7665606719674543e-06, 1.9599703804384916e-12]",80.22506109316079
b004-local-0005,0.5593269693749215,0.11656981525085502,"[0.28937265612277413, 0.2172597109825536, 0.20087166746224566, 0.29249596543242673]",local,,,region-03,20,search,4,SIMULATOR_OBSERVED_INFEASIBLE,True,12.269413099998928,0.011,"[0.17477592829705513, 0.0, 0.0, 0.0]",96.29412719660978,0.01279748510569334,"[0.00013984728138893843, 2.242580544821373e-14, 6.758477241394778e-14, 2.447020022269163e-22]",92.3921496963045
b004-independent-0006,0.4227616582118203,0.03442666358680834,"[0.2690819732011549, 0.19072730583411399, 0.37479465333309264, 0.1653960676316385]",independent,,,,20,search,4,SIMULATOR_OBSERVED_INFEASIBLE,True,11.815886299998965,0.012,"[0.4014084507042254, 0.0, 0.0, 0.0]",95.57579713481684,0.011498747393488884,"[0.40126168727874756, 4.228103284154017e-11, 5.484958954813078e-18, 8.267611855544699e-13]",95.59387325869614
b004-independent-0007,0.6581017471276898,0.18941707034145264,"[0.1805811370031231, 0.15113288262431454, 0.2715654088196008, 0.39672057155296153]",independent,,,,20,search,4,SIMULATOR_OBSERVED_INFEASIBLE,True,11.46658120000211,1.117,"[0.0, 0.0, 0.0, 0.0]",109.8576494893351,1.123841404914856,"[9.47803414419468e-07, 6.749833608298288e-25, 3.858184988777376e-30, 1.4521035827149708e-36]",109.81054308009232
v3-1500-0265,0.3663828670978546,0.21973192691802979,"[0.44971099495887756, 0.16020098328590393, 0.16323329508304596, 0.22685472667217255]",V3 endpoint,265.0,1500.0,region-01,100020,confirmation,1,SIMULATOR_OBSERVED_FEASIBLE,True,9.205957599999238,0.006,"[0.0, 0.0, 0.0, 0.0]",62.60601356347972,0.006301378831267357,"[0.04609373211860657, 3.522918063936231e-07, 1.6782166767370654e-06, 1.4663459069197415e-07]",63.49641799926758
v3-1500-0265,0.3663828670978546,0.21973192691802979,"[0.44971099495887756, 0.16020098328590393, 0.16323329508304596, 0.22685472667217255]",V3 endpoint,265.0,1500.0,region-01,100021,confirmation,2,SIMULATOR_OBSERVED_FEASIBLE,True,10.276589500001137,0.006,"[0.0, 0.0, 0.0, 0.0]",62.60316925481305,0.006301378831267357,"[0.04609373211860657, 3.522918063936231e-07, 1.6782166767370654e-06, 1.4663459069197415e-07]",63.49641799926758
