case_id,bank_id,wall_seconds,snapshot_count,region_count,settings
c010,b28b0175bc07a14892d6d9faff75281e6407bb4e7452be7478d5f3a7452294e5,37.61138700000083,1408,6,"{""starts"": 128, ""iterations"": 500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300010, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
c011,d78ccdf6341e5925082cf0859f9125408c5d17ec30c6656dd79a6905237a4a0c,37.3246951000001,1408,6,"{""starts"": 128, ""iterations"": 500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300011, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
c012,a4aae88948d647f6e2b39256dda304ab9fd1445eed5bdcf78000b413f108bfb5,37.77134410000144,1408,6,"{""starts"": 128, ""iterations"": 500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300012, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
c013,ff50ea7e49e0ad8de28a301009fe5b12a2c4fdf3a17059645f34a18ee0f0da0b,38.317050599998765,1408,6,"{""starts"": 128, ""iterations"": 500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300013, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
c014,1427d3ef0109042837f3944456b8e452f67256ba0ceb61d6ff14608abfbca79e,38.47774279999794,1408,6,"{""starts"": 128, ""iterations"": 500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300014, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
c015,ddcc6b717de158665823523cf3c59ef87d5c4983f0c15586f953ea87fb8ff931,38.682473000000755,1408,6,"{""starts"": 128, ""iterations"": 500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300015, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
c016,230dab111ff0d6c1292aa89000e4e5a49775e972768959534845e4dc7c49d35b,38.56875030000083,1408,6,"{""starts"": 128, ""iterations"": 500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300016, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
c017,432646c867020e219e94f28697ca8ac728f0baa51c8511c7e060269153c28391,38.20545420000053,1408,6,"{""starts"": 128, ""iterations"": 500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300017, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
c018,183904f2ac2172f64f7f18a2fbb9b1bc6b9baa6fb71f9a2688a0f52a24bfb6f0,38.22781699999905,1408,6,"{""starts"": 128, ""iterations"": 500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300018, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
c019,a4e84c580719028738eee4bbd9a51213bb61bf20376f8918aca380cae51db846,38.667714800001704,1408,6,"{""starts"": 128, ""iterations"": 500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300019, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
c020,39806ea2cf0ff6ce1628dccd7055ad4390515d5639efdcaf6ae97dd3eeff32d3,27.448738500002946,1408,6,"{""starts"": 128, ""iterations"": 500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300020, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
c021,49e1f58a06c24cba99e7b58a6c656be94d11139d8617d9d1ac269a1e2d82575e,34.75437359999705,1408,6,"{""starts"": 128, ""iterations"": 500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300021, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
c022,df672ed1c7be2541cdab1df744f16ee80166be52476230a56bf795d639612c0a,35.5367935999966,1408,6,"{""starts"": 128, ""iterations"": 500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300022, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
c023,06d7afaf10b7aa06be8075043e0d8926bc6c2fbb8d98d306e1959235f8ae4a39,358.28724729999885,15872,6,"{""starts"": 512, ""iterations"": 1500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300023, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
c024,e80545d679454cec72a6027d1ad34acddc871eb0a1a1822643255f7e5ae7293b,39327.6395283,15872,6,"{""starts"": 512, ""iterations"": 1500, ""learning_rate"": 0.03, ""minimum_learning_rate"": 0.0005, ""mode"": ""margin_constrained"", ""tracking_penalty"": 2000.0, ""qos_penalty"": 2000.0, ""penalty_ramp_fraction"": 0.3, ""top_k"": 5, ""candidate_distance"": 0.03, ""random_seed"": 300024, ""near_equal_start_fraction"": 0.25, ""high_p_low_r_start_fraction"": 0.25, ""enforce_flexdc_weight_bounds"": true, ""weight_min_fraction_of_equal"": 0.1, ""weight_max_multiple_of_equal"": 4.0, ""weight_min"": 0.15, ""weight_max"": 0.45, ""r_over_p_max"": 0.6, ""pbar_min_override"": null, ""pbar_max_override"": null, ""r_min_override"": null, ""r_max_override"": null, ""explicit_ratio_starts"": null, ""illegal_start_policy"": ""project"", ""log_every"": 25}"
